용도코드,용도명,차종코드,차종명,규모코드,규모명,연도코드,연도,연식구간코드,연식구간명,지표코드,지표명,값
0001,전체,0003,승합차,0001,합계,Y2024 2024,,0080,15년 이상,M0010,검사대수,167771.0
0001,전체,0003,승합차,0001,합계,Y2024 2024,,0080,15년 이상,M0011,부적합률,23.62
0001,전체,0003,승합차,0001,합계,Y2024 2024,,0090,기타,M0010,검사대수,0.0
0001,전체,0003,승합차,0001,합계,Y2024 2024,,0090,기타,M0011,부적합률,0.0
0001,전체,0003,승합차,0002,경형,Y2024 2024,,0010,합계,M0010,검사대수,12637.0
0001,전체,0003,승합차,0002,경형,Y2024 2024,,0010,합계,M0011,부적합률,28.78
0001,전체,0003,승합차,0002,경형,Y2024 2024,,0020,4년 이하,M0010,검사대수,2242.0
0001,전체,0003,승합차,0002,경형,Y2024 2024,,0020,4년 이하,M0011,부적합률,21.1
0001,전체,0003,승합차,0002,경형,Y2024 2024,,0030,5~6년,M0010,검사대수,1123.0
0001,전체,0003,승합차,0002,경형,Y2024 2024,,0030,5~6년,M0011,부적합률,25.65
0001,전체,0003,승합차,0002,경형,Y2024 2024,,0040,7~8년,M0010,검사대수,2371.0
0001,전체,0003,승합차,0002,경형,Y2024 2024,,0040,7~8년,M0011,부적합률,28.72
0001,전체,0003,승합차,0002,경형,Y2024 2024,,0050,9~10년,M0010,검사대수,2453.0
0001,전체,0003,승합차,0002,경형,Y2024 2024,,0050,9~10년,M0011,부적합률,31.92
0001,전체,0003,승합차,0002,경형,Y2024 2024,,0060,11~12년,M0010,검사대수,2048.0
0001,전체,0003,승합차,0002,경형,Y2024 2024,,0060,11~12년,M0011,부적합률,33.15
0001,전체,0003,승합차,0002,경형,Y2024 2024,,0070,13~14년,M0010,검사대수,1074.0
0001,전체,0003,승합차,0002,경형,Y2024 2024,,0070,13~14년,M0011,부적합률,30.17
0001,전체,0003,승합차,0002,경형,Y2024 2024,,0080,15년 이상,M0010,검사대수,1326.0
0001,전체,0003,승합차,0002,경형,Y2024 2024,,0080,15년 이상,M0011,부적합률,30.84
0001,전체,0003,승합차,0002,경형,Y2024 2024,,0090,기타,M0010,검사대수,0.0
0001,전체,0003,승합차,0002,경형,Y2024 2024,,0090,기타,M0011,부적합률,0.0
0001,전체,0003,승합차,0005,소형,Y2024 2024,,0010,합계,M0010,검사대수,195.0
0001,전체,0003,승합차,0005,소형,Y2024 2024,,0010,합계,M0011,부적합률,41.03
0001,전체,0003,승합차,0005,소형,Y2024 2024,,0020,4년 이하,M0010,검사대수,0.0
0001,전체,0003,승합차,0005,소형,Y2024 2024,,0020,4년 이하,M0011,부적합률,0.0
0001,전체,0003,승합차,0005,소형,Y2024 2024,,0030,5~6년,M0010,검사대수,0.0
0001,전체,0003,승합차,0005,소형,Y2024 2024,,0030,5~6년,M0011,부적합률,0.0
0001,전체,0003,승합차,0005,소형,Y2024 2024,,0040,7~8년,M0010,검사대수,2.0
0001,전체,0003,승합차,0005,소형,Y2024 2024,,0040,7~8년,M0011,부적합률,0.0
0001,전체,0003,승합차,0005,소형,Y2024 2024,,0050,9~10년,M0010,검사대수,5.0
0001,전체,0003,승합차,0005,소형,Y2024 2024,,0050,9~10년,M0011,부적합률,20.0
0001,전체,0003,승합차,0005,소형,Y2024 2024,,0060,11~12년,M0010,검사대수,1.0
0001,전체,0003,승합차,0005,소형,Y2024 2024,,0060,11~12년,M0011,부적합률,0.0
0001,전체,0003,승합차,0005,소형,Y2024 2024,,0070,13~14년,M0010,검사대수,3.0
0001,전체,0003,승합차,0005,소형,Y2024 2024,,0070,13~14년,M0011,부적합률,0.0
0001,전체,0003,승합차,0005,소형,Y2024 2024,,0080,15년 이상,M0010,검사대수,184.0
0001,전체,0003,승합차,0005,소형,Y2024 2024,,0080,15년 이상,M0011,부적합률,42.93
0001,전체,0003,승합차,0005,소형,Y2024 2024,,0090,기타,M0010,검사대수,0.0
0001,전체,0003,승합차,0005,소형,Y2024 2024,,0090,기타,M0011,부적합률,0.0
0001,전체,0003,승합차,0003,중형,Y2024 2024,,0010,합계,M0010,검사대수,762062.0
0001,전체,0003,승합차,0003,중형,Y2024 2024,,0010,합계,M0011,부적합률,19.78
0001,전체,0003,승합차,0003,중형,Y2024 2024,,0020,4년 이하,M0010,검사대수,83728.0
0001,전체,0003,승합차,0003,중형,Y2024 2024,,0020,4년 이하,M0011,부적합률,10.4
0001,전체,0003,승합차,0003,중형,Y2024 2024,,0030,5~6년,M0010,검사대수,28513.0
0001,전체,0003,승합차,0003,중형,Y2024 2024,,0030,5~6년,M0011,부적합률,18.47
0001,전체,0003,승합차,0003,중형,Y2024 2024,,0040,7~8년,M0010,검사대수,58667.0
0001,전체,0003,승합차,0003,중형,Y2024 2024,,0040,7~8년,M0011,부적합률,18.9
0001,전체,0003,승합차,0003,중형,Y2024 2024,,0050,9~10년,M0010,검사대수,125482.0
0001,전체,0003,승합차,0003,중형,Y2024 2024,,0050,9~10년,M0011,부적합률,18.62
0001,전체,0003,승합차,0003,중형,Y2024 2024,,0060,11~12년,M0010,검사대수,166976.0
0001,전체,0003,승합차,0003,중형,Y2024 2024,,0060,11~12년,M0011,부적합률,19.37
0001,전체,0003,승합차,0003,중형,Y2024 2024,,0070,13~14년,M0010,검사대수,137998.0
0001,전체,0003,승합차,0003,중형,Y2024 2024,,0070,13~14년,M0011,부적합률,22.98
0001,전체,0003,승합차,0003,중형,Y2024 2024,,0080,15년 이상,M0010,검사대수,160698.0
0001,전체,0003,승합차,0003,중형,Y2024 2024,,0080,15년 이상,M0011,부적합률,23.82
0001,전체,0003,승합차,0003,중형,Y2024 2024,,0090,기타,M0010,검사대수,0.0
0001,전체,0003,승합차,0003,중형,Y2024 2024,,0090,기타,M0011,부적합률,0.0
0001,전체,0003,승합차,0004,대형,Y2024 2024,,0010,합계,M0010,검사대수,93169.0
0001,전체,0003,승합차,0004,대형,Y2024 2024,,0010,합계,M0011,부적합률,18.5
0001,전체,0003,승합차,0004,대형,Y2024 2024,,0020,4년 이하,M0010,검사대수,26977.0
0001,전체,0003,승합차,0004,대형,Y2024 2024,,0020,4년 이하,M0011,부적합률,6.83
0001,전체,0003,승합차,0004,대형,Y2024 2024,,0030,5~6년,M0010,검사대수,8251.0
0001,전체,0003,승합차,0004,대형,Y2024 2024,,0030,5~6년,M0011,부적합률,12.35
0001,전체,0003,승합차,0004,대형,Y2024 2024,,0040,7~8년,M0010,검사대수,16285.0
0001,전체,0003,승합차,0004,대형,Y2024 2024,,0040,7~8년,M0011,부적합률,24.34
0001,전체,0003,승합차,0004,대형,Y2024 2024,,0050,9~10년,M0010,검사대수,22503.0
0001,전체,0003,승합차,0004,대형,Y2024 2024,,0050,9~10년,M0011,부적합률,26.75
0001,전체,0003,승합차,0004,대형,Y2024 2024,,0060,11~12년,M0010,검사대수,9042.0
0001,전체,0003,승합차,0004,대형,Y2024 2024,,0060,11~12년,M0011,부적합률,29.81
0001,전체,0003,승합차,0004,대형,Y2024 2024,,0070,13~14년,M0010,검사대수,4548.0
0001,전체,0003,승합차,0004,대형,Y2024 2024,,0070,13~14년,M0011,부적합률,18.38
0001,전체,0003,승합차,0004,대형,Y2024 2024,,0080,15년 이상,M0010,검사대수,5563.0
0001,전체,0003,승합차,0004,대형,Y2024 2024,,0080,15년 이상,M0011,부적합률,15.39
0001,전체,0003,승합차,0004,대형,Y2024 2024,,0090,기타,M0010,검사대수,0.0
0001,전체,0003,승합차,0004,대형,Y2024 2024,,0090,기타,M0011,부적합률,0.0
0001,전체,0004,화물차,0001,합계,Y2024 2024,,0010,합계,M0010,검사대수,3538784.0
0001,전체,0004,화물차,0001,합계,Y2024 2024,,0010,합계,M0011,부적합률,26.95
0001,전체,0004,화물차,0001,합계,Y2024 2024,,0020,4년 이하,M0010,검사대수,930400.0
0001,전체,0004,화물차,0001,합계,Y2024 2024,,0020,4년 이하,M0011,부적합률,14.53
0001,전체,0004,화물차,0001,합계,Y2024 2024,,0030,5~6년,M0010,검사대수,256362.0
0001,전체,0004,화물차,0001,합계,Y2024 2024,,0030,5~6년,M0011,부적합률,23.36
0001,전체,0004,화물차,0001,합계,Y2024 2024,,0040,7~8년,M0010,검사대수,497177.0
0001,전체,0004,화물차,0001,합계,Y2024 2024,,0040,7~8년,M0011,부적합률,27.68
