brand,model,year,price_krw,mileage_km,fuel_type,transmission,body_type,displacement_cc,link
현대,기아 더 뉴 카니발 4세대 1.6 터보 HEV 9인승 그래비티,2025,2000000.0,1200,가솔린 하이브리드,자동,,1598245,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2253414&gubun=K
현대,기아 더 뉴 카니발 4세대 1.6 터보 HEV 9인승  그래비티,2025,1200000.0,850,가솔린 하이브리드,자동,,1598245,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2253415&gubun=K
현대,기아 더 뉴 카니발 4세대 1.6 터보 HEV 9인승 하이리무진  시그니처,2025,1000000.0,1300,가솔린 하이브리드,자동,,1598245,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2255198&gubun=K
현대,기아 더 뉴 카니발 4세대 1.6 터보 HEV 9인승 하이리무진  시그니처,2025,1500000.0,3200,가솔린 하이브리드,자동,,1598245,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2255199&gubun=K
현대,기아 더 뉴 카니발 4세대 1.6 터보 HEV 9인승  프레스티지,2025,1500000.0,2800,가솔린 하이브리드,자동,,1598245,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2255200&gubun=K
현대,기아 더 뉴 카니발 4세대 1.6 터보 HEV 9인승  그래비티,2025,1500000.0,3000,가솔린 하이브리드,자동,,1598245,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2255201&gubun=K
현대,기아 더 뉴 K8 하이브리드 1.6 터보 HEV  노블레스,2025,2000000.0,1900,가솔린 하이브리드,자동,,1598230,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2255203&gubun=K
현대,기아 더 뉴 카니발 4세대 1.6 터보 HEV 9인승  프레스티지,2025,1500000.0,3700,가솔린 하이브리드,자동,,1598245,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2255204&gubun=K
현대,기아 더 뉴 카니발 4세대 1.6 터보 HEV 9인승 시그니처,2025,1600000.0,5500,가솔린 하이브리드,자동,,1598245,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2256899&gubun=K
현대,기아 더 뉴 카니발 4세대 3.5 가솔린 9인승  그래비티,2025,0.0,2100,가솔린,자동,,3470294,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2256900&gubun=K
