model_name,model_code,model_volume,maker_code,origin
아이고,917,0,9,I
아발론,726,0,9,I
알테자,727,0,9,I
알파드,847,7,9,I
야리스(비츠),728,1,9,I
위시,859,0,9,I
윌,729,0,9,I
입섬,730,0,9,I
코롤라,572,0,9,I
크라운,731,0,9,I
하이랜더,733,0,9,I
하이럭스,734,0,9,I
하이에이스,1076,0,9,I
해리어,735,0,9,I
락티스,1161,0,9,I
마크2,1162,0,9,I
마크X,1244,0,9,I
마크X 지오,1245,0,9,I
비스타,1163,0,9,I
시엔타,1164,0,9,I
에스티마,1165,0,9,I
윈덤,1166,0,9,I
이스트,1167,0,9,I
체이서,1168,0,9,I
카미,1169,0,9,I
파쏘,1170,0,9,I
포르테,1171,0,9,I
그랑비아,1172,0,9,I
프리비아,1173,0,9,I
기타,580,0,9,I
존다,278,0,84,I
후에이라,279,0,84,I
E-시리즈,508,1,42,I
F-시리즈,509,28,42,I
GT,512,0,42,I
S-MAX,510,0,42,I
레인져,506,1,42,I
머스탱,507,8,42,I
몬데오,496,0,42,I
브롱코,855,4,42,I
윈드스타,794,0,42,I
이스케이프,501,0,42,I
익스페디션,505,2,42,I
익스플로러,502,2,42,I
썬더버드,511,1,42,I
